TransactionID,InvoiceNo,Date,Time,GuestCount,OrderType,SalesChannel,GrossSales,ServiceCharge,DiscountType,DiscountAmount,AmountDue,NetSales
79601,002-000032604,30/06/2026,12:07:19,3,Dine In,Walk-in,"₱1,920.00",₱171.46,nan,₱0.00,"₱2,091.46","₱2,091.46"
79598,002-000032603,30/06/2026,11:18:35,1,Dine In,Walk-in,₱860.00,₱76.80,nan,₱0.00,₱936.80,₱936.80
79597,002-000032602,30/06/2026,10:36:42,2,Dine In,Walk-in,"₱1,255.00",₱112.05,nan,₱0.00,"₱1,367.05","₱1,367.05"
79595,002-000032601,29/06/2026,23:46:58,3,Dine In,Walk-in,"₱2,125.00",₱189.73,nan,₱0.00,"₱2,314.73","₱2,314.73"
79593,002-000032600,29/06/2026,23:07:35,2,Dine In,Walk-in,"₱1,275.00",₱113.84,nan,₱0.00,"₱1,388.84","₱1,388.84"
79590,002-000032599,29/06/2026,22:24:46,5,Dine In,Walk-in,"₱3,330.00",₱297.32,nan,₱0.00,"₱3,627.32","₱3,627.32"
79588,002-000032598,29/06/2026,21:42:09,4,Dine In,Walk-in,"₱2,760.00",₱246.43,nan,₱0.00,"₱3,006.43","₱3,006.43"
79585,002-000032597,29/06/2026,21:06:54,2,Dine In,Walk-in,"₱1,365.00",₱121.88,nan,₱0.00,"₱1,486.88","₱1,486.88"
79583,002-000032596,29/06/2026,20:38:17,3,Dine In,Walk-in,"₱2,015.00",₱179.91,nan,₱0.00,"₱2,194.91","₱2,194.91"
79581,002-000032595,29/06/2026,20:11:56,2,Dine In,Walk-in,"₱1,540.00",₱137.50,nan,₱0.00,"₱1,677.50","₱1,677.50"
79578,002-000032594,29/06/2026,18:36:41,4,Dine In,Walk-in,"₱2,835.00",₱253.13,nan,₱0.00,"₱3,088.13","₱3,088.13"
79576,002-000032593,29/06/2026,17:48:05,3,Dine In,Walk-in,"₱2,060.00",₱183.93,nan,₱0.00,"₱2,243.93","₱2,243.93"
79573,002-000032592,29/06/2026,16:21:47,1,Dine In,Walk-in,₱985.00,₱87.95,nan,₱0.00,"₱1,072.95","₱1,072.95"
79572,002-000032591,29/06/2026,15:06:18,2,Dine In,Walk-in,"₱1,280.00",₱114.29,nan,₱0.00,"₱1,394.29","₱1,394.29"
79569,002-000032590,29/06/2026,13:48:39,2,Dine In,Walk-in,"₱1,325.00",₱118.30,nan,₱0.00,"₱1,443.30","₱1,443.30"
79567,002-000032589,29/06/2026,12:52:14,4,Dine In,Walk-in,"₱2,475.00",₱220.98,nan,₱0.00,"₱2,695.98","₱2,695.98"
79564,002-000032588,29/06/2026,12:06:27,3,Dine In,Walk-in,"₱1,985.00",₱177.23,nan,₱0.00,"₱2,162.23","₱2,162.23"
79563,002-000032587,29/06/2026,11:24:53,1,Dine In,Walk-in,₱860.00,₱76.79,nan,₱0.00,₱936.79,₱936.79
79561,002-000032586,29/06/2026,10:41:18,2,Dine In,Walk-in,"₱1,195.00",₱106.70,nan,₱0.00,"₱1,301.70","₱1,301.70"
79560,002-000032585,28/06/2026,23:58:39,6,Dine In,Walk-in,"₱4,510.00",₱402.68,nan,₱0.00,"₱4,912.68","₱4,912.68"
79557,002-000032584,28/06/2026,23:34:15,5,Dine In,Walk-in,"₱3,725.00",₱332.59,nan,₱0.00,"₱4,057.59","₱4,057.59"
79554,002-000032583,28/06/2026,23:08:47,2,Dine In,Walk-in,"₱1,430.00",₱127.68,nan,₱0.00,"₱1,557.68","₱1,557.68"
79551,002-000032582,28/06/2026,22:41:26,4,Dine In,Walk-in,"₱2,865.00",₱255.80,nan,₱0.00,"₱3,120.80","₱3,120.80"
79550,002-000032581,28/06/2026,22:16:37,2,Dine In,Walk-in,"₱1,520.00",₱135.71,nan,₱0.00,"₱1,655.71","₱1,655.71"
79547,002-000032580,28/06/2026,21:28:12,5,Dine In,Walk-in,"₱3,455.00",₱308.48,nan,₱0.00,"₱3,763.48","₱3,763.48"
79545,002-000032579,28/06/2026,20:54:41,3,Dine In,Walk-in,"₱2,035.00",₱181.70,nan,₱0.00,"₱2,216.70","₱2,216.70"
79542,002-000032578,28/06/2026,20:03:18,6,Dine In,Walk-in,"₱4,085.00",₱364.73,nan,₱0.00,"₱4,449.73","₱4,449.73"
79539,002-000032577,28/06/2026,19:15:53,2,Dine In,Walk-in,"₱1,395.00",₱124.55,nan,₱0.00,"₱1,519.55","₱1,519.55"
79538,002-000032576,28/06/2026,19:08:44,4,Dine In,Walk-in,"₱2,785.00",₱248.66,nan,₱0.00,"₱3,033.66","₱3,033.66"
79536,002-000032575,28/06/2026,18:47:09,2,Dine In,Walk-in,"₱1,470.00",₱131.25,nan,₱0.00,"₱1,601.25","₱1,601.25"
79533,002-000032574,28/06/2026,18:14:26,6,Dine In,Walk-in,"₱4,230.00",₱377.68,nan,₱0.00,"₱4,607.68","₱4,607.68"
79531,002-000032573,28/06/2026,17:36:48,5,Dine In,Walk-in,"₱3,515.00",₱313.84,nan,₱0.00,"₱3,828.84","₱3,828.84"
79528,002-000032572,28/06/2026,15:17:43,3,Dine In,Walk-in,"₱1,940.00",₱173.21,nan,₱0.00,"₱2,113.21","₱2,113.21"
79527,002-000032571,28/06/2026,14:02:56,2,Dine In,Walk-in,"₱1,285.00",₱114.73,nan,₱0.00,"₱1,399.73","₱1,399.73"
79525,002-000032570,28/06/2026,13:24:11,4,Dine In,Walk-in,"₱2,640.00",₱235.71,nan,₱0.00,"₱2,875.71","₱2,875.71"
79522,002-000032569,28/06/2026,12:58:55,6,Dine In,Walk-in,"₱3,975.00",₱354.91,nan,₱0.00,"₱4,329.91","₱4,329.91"
79520,002-000032568,28/06/2026,12:29:47,2,Dine In,Walk-in,"₱1,460.00",₱130.36,nan,₱0.00,"₱1,590.36","₱1,590.36"
79519,002-000032567,28/06/2026,12:07:31,5,Dine In,Walk-in,"₱3,145.00",₱280.80,nan,₱0.00,"₱3,425.80","₱3,425.80"
79516,002-000032566,28/06/2026,11:46:18,3,Dine In,Walk-in,"₱1,865.00",₱166.52,nan,₱0.00,"₱2,031.52","₱2,031.52"
79514,002-000032565,28/06/2026,11:18:56,4,Dine In,Walk-in,"₱2,535.00",₱226.34,nan,₱0.00,"₱2,761.34","₱2,761.34"
79513,002-000032564,28/06/2026,10:57:42,2,Dine In,Walk-in,"₱1,215.00",₱108.48,nan,₱0.00,"₱1,323.48","₱1,323.48"
79512,002-000032563,27/06/2026,23:58:41,6,Dine In,Walk-in,"₱4,420.00",₱394.64,nan,₱0.00,"₱4,814.64","₱4,814.64"
79509,002-000032562,27/06/2026,23:49:53,3,Dine In,Walk-in,"₱2,145.00",₱191.52,nan,₱0.00,"₱2,336.52","₱2,336.52"
79507,002-000032561,27/06/2026,23:36:42,5,Dine In,Walk-in,"₱3,845.00",₱343.30,nan,₱0.00,"₱4,188.30","₱4,188.30"
79504,002-000032560,27/06/2026,23:21:17,2,Dine In,Walk-in,"₱1,395.00",₱124.55,nan,₱0.00,"₱1,519.55","₱1,519.55"
79503,002-000032559,27/06/2026,23:12:48,4,Dine In,Walk-in,"₱2,885.00",₱257.59,nan,₱0.00,"₱3,142.59","₱3,142.59"
79500,002-000032558,27/06/2026,23:48:36,6,Dine In,Walk-in,"₱4,365.00",₱389.73,nan,₱0.00,"₱4,754.73","₱4,754.73"
79497,002-000032557,27/06/2026,23:17:08,3,Dine In,Walk-in,"₱2,090.00",₱186.61,nan,₱0.00,"₱2,276.61","₱2,276.61"
79494,002-000032556,27/06/2026,22:43:47,5,Dine In,Walk-in,"₱3,780.00",₱337.50,nan,₱0.00,"₱4,117.50","₱4,117.50"
79491,002-000032555,27/06/2026,22:09:54,2,Dine In,Walk-in,"₱1,520.00",₱135.71,nan,₱0.00,"₱1,655.71","₱1,655.71"
79488,002-000032554,27/06/2026,21:36:21,4,Dine In,Walk-in,"₱2,945.00",₱262.95,nan,₱0.00,"₱3,207.95","₱3,207.95"
79485,002-000032553,27/06/2026,21:02:49,2,Dine In,Walk-in,"₱1,475.00",₱131.70,nan,₱0.00,"₱1,606.70","₱1,606.70"
79482,002-000032552,27/06/2026,20:16:35,5,Dine In,Walk-in,"₱3,340.00",₱298.21,nan,₱0.00,"₱3,638.21","₱3,638.21"
79479,002-000032551,27/06/2026,19:33:57,3,Dine In,Walk-in,"₱1,925.00",₱171.88,nan,₱0.00,"₱2,096.88","₱2,096.88"
79476,002-000032550,27/06/2026,18:56:12,6,Dine In,Walk-in,"₱4,145.00",₱370.09,nan,₱0.00,"₱4,515.09","₱4,515.09"
79473,002-000032549,27/06/2026,18:18:44,4,Dine In,Walk-in,"₱2,755.00",₱245.98,nan,₱0.00,"₱3,000.98","₱3,000.98"
79470,002-000032548,27/06/2026,17:41:52,2,Dine In,Walk-in,"₱1,485.00",₱132.59,nan,₱0.00,"₱1,617.59","₱1,617.59"
79467,002-000032547,27/06/2026,13:15:38,5,Dine In,Walk-in,"₱3,295.00",₱294.20,nan,₱0.00,"₱3,589.20","₱3,589.20"
79464,002-000032546,27/06/2026,12:26:55,3,Dine In,Walk-in,"₱1,925.00",₱171.88,nan,₱0.00,"₱2,096.88","₱2,096.88"
79461,002-000032545,27/06/2026,11:47:13,4,Dine In,Walk-in,"₱2,685.00",₱239.73,nan,₱0.00,"₱2,924.73","₱2,924.73"
79458,002-000032544,27/06/2026,11:09:26,2,Dine In,Walk-in,"₱1,335.00",₱119.20,nan,₱0.00,"₱1,454.20","₱1,454.20"
79457,002-000032735,26/06/2026,23:47:49,28,Dine In,Dine In,"₱17,735.00","₱1,447.76",Senior Citizen,"₱1,357.27","₱17,011.13","₱17,011.13"
79455,002-000032733,26/06/2026,23:43:26,28,Dine In,Dine In,"₱8,255.00",₱737.05,Family Discount,₱825.50,"₱8,166.55","₱8,166.55"
79445,002-000032731,26/06/2026,23:57:02,12,Dine In,Dine In,"₱2,535.00",₱222.57,Senior Citizen,₱37.72,"₱2,697.22","₱2,697.22"
79443,002-000032730,26/06/2026,23:47:24,4,Dine In,Dine In,₱520.00,₱41.79,Senior Citizen,₱46.43,₱487.50,₱487.50
79437,002-000032727,26/06/2026,22:47:38,2,Dine In,Dine In,₱820.00,₱73.21,Family Discount,₱82.00,₱811.21,₱811.21
79427,002-000032723,26/06/2026,21:23:12,4,Dine In,Dine In,"₱3,270.00",₱256.88,PWD,₱350.89,"₱2,965.45","₱2,965.45"
79419,002-000032719,26/06/2026,21:02:30,0,Dine In,Dine In,₱260.00,₱23.21,Family Discount,₱26.00,₱257.21,₱257.21
79417,002-000032718,26/06/2026,20:59:26,2,Dine In,Dine In,"₱2,055.00",₱183.48,nan,₱0.00,"₱2,238.48","₱2,238.48"
79415,002-000032717,26/06/2026,20:49:06,28,Dine In,Dine In,₱355.00,₱31.70,nan,₱0.00,₱386.70,₱386.70
79414,002-000032716,26/06/2026,20:26:09,4,Dine In,Dine In,"₱2,835.00",₱253.13,nan,₱0.00,"₱3,088.13","₱3,088.13"
79412,002-000032714,26/06/2026,20:23:38,2,Dine In,Dine In,"₱1,260.00",₱90.00,Senior Citizen,₱225.00,₱990.00,₱990.00
79394,002-000032707,26/06/2026,17:29:24,4,Dine In,Dine In,"₱2,145.00",₱181.94,Senior Citizen,₱95.76,"₱2,173.72","₱2,173.72"
79382,002-000032701,26/06/2026,13:39:47,2,Dine In,Dine In,"₱4,510.00",₱366.12,Senior Citizen,₱365.63,"₱4,291.11","₱4,291.11"
79372,002-000032699,25/06/2026,23:36:57,3,Dine In,Dine In,"₱3,735.00",₱333.48,Family Discount,₱373.50,"₱3,694.98","₱3,694.98"
79368,002-000032698,25/06/2026,23:28:50,0,Dine In,Dine In,"₱1,225.00",₱109.38,nan,₱0.00,"₱1,334.38","₱1,334.38"
79366,002-000032697,25/06/2026,23:22:53,2,Dine In,Dine In,"₱1,170.00",₱104.46,nan,₱0.00,"₱1,274.46","₱1,274.46"
79358,002-000032695,25/06/2026,21:24:47,2,Dine In,Dine In,"₱1,675.00",₱149.55,nan,₱0.00,"₱1,824.55","₱1,824.55"
79356,002-000032694,25/06/2026,21:20:29,4,Dine In,Dine In,"₱3,220.00",₱261.65,PWD,₱258.48,"₱3,068.08","₱3,068.08"
79354,002-000032693,25/06/2026,20:22:18,2,Dine In,Dine In,"₱1,430.00",₱127.68,nan,₱0.00,"₱1,557.68","₱1,557.68"
79352,002-000032692,25/06/2026,19:47:22,0,Dine In,Dine In,₱995.00,₱88.84,nan,₱0.00,"₱1,083.84","₱1,083.84"
79346,002-000032689,25/06/2026,17:24:59,1,Dine In,Dine In,₱610.00,₱43.57,Senior Citizen,₱108.93,₱479.28,₱479.28
79342,002-000032687,25/06/2026,16:17:23,2,Dine In,Dine In,"₱1,035.00",₱73.93,PWD,₱184.82,₱813.22,₱813.22
79341,002-000032686,25/06/2026,16:13:31,0,Take Out,Take Out,₱595.00,₱0.00,nan,₱0.00,₱595.00,₱595.00
79333,002-000032684,25/06/2026,15:27:13,2,Dine In,Dine In,"₱1,185.00",₱118.50,nan,₱0.00,"₱1,303.50","₱1,303.50"
79329,002-000032682,25/06/2026,13:21:31,0,Dine In,Dine In,₱365.00,₱32.59,nan,₱0.00,₱397.59,₱397.59
79327,002-000032681,25/06/2026,12:57:25,3,Dine In,Dine In,"₱1,490.00",₱133.04,nan,₱0.00,"₱1,623.04","₱1,623.04"
79325,002-000032680,25/06/2026,12:27:45,2,Dine In,Dine In,"₱1,230.00",₱109.82,Family Discount,₱123.00,"₱1,216.82","₱1,216.82"
79315,002-000032679,24/06/2026,22:01:09,3,Dine In,Dine In,"₱3,000.00",₱300.00,nan,₱0.00,"₱3,300.00","₱3,300.00"
79314,002-000032678,24/06/2026,22:00:42,5,Dine In,Dine In,₱750.00,₱66.96,nan,₱0.00,₱816.96,₱816.96
79312,002-000032677,24/06/2026,21:39:17,2,Dine In,Dine In,"₱1,855.00",₱165.63,nan,₱0.00,"₱2,020.63","₱2,020.63"
79310,002-000032676,24/06/2026,21:30:24,2,Dine In,Dine In,₱490.00,₱39.38,PWD,₱43.75,₱459.38,₱459.38
79309,002-000032675,24/06/2026,21:29:28,2,Dine In,Dine In,"₱1,405.00",₱125.45,Family Discount,₱140.50,"₱1,389.95","₱1,389.95"
79306,002-000032674,24/06/2026,20:39:54,2,Dine In,Dine In,₱860.00,₱76.79,nan,₱0.00,₱936.79,₱936.79
79304,002-000032673,24/06/2026,20:35:45,6,Dine In,Dine In,"₱4,830.00",₱431.25,nan,₱0.00,"₱5,261.25","₱5,261.25"
79302,002-000032672,24/06/2026,20:17:22,4,Dine In,Dine In,"₱3,370.00",₱270.80,PWD,₱300.89,"₱3,159.37","₱3,159.37"
79300,002-000032671,24/06/2026,19:59:04,0,Take Out,Take Out,₱835.00,₱0.00,nan,₱0.00,₱835.00,₱835.00
79298,002-000032670,24/06/2026,18:58:11,8,Dine In,Dine In,"₱5,700.00",₱480.47,PWD,₱284.60,"₱5,725.11","₱5,725.11"
79295,002-000032669,24/06/2026,17:21:18,1,Dine In,Dine In,₱445.00,₱39.73,nan,₱0.00,₱484.73,₱484.73
79293,002-000032668,24/06/2026,16:00:08,3,Dine In,Dine In,"₱3,310.00",₱331.00,nan,₱0.00,"₱3,641.00","₱3,641.00"
79290,002-000032667,24/06/2026,15:05:55,2,Dine In,Dine In,₱585.00,₱52.23,nan,₱0.00,₱637.23,₱637.23
79288,002-000032666,24/06/2026,14:37:02,2,Dine In,Dine In,"₱1,650.00",₱147.32,nan,₱0.00,"₱1,797.32","₱1,797.32"
79286,002-000032665,24/06/2026,12:49:35,2,Dine In,Dine In,₱675.00,₱60.27,nan,₱0.00,₱735.27,₱735.27
79284,002-000032664,24/06/2026,12:42:08,2,Dine In,Dine In,"₱2,080.00",₱185.71,nan,₱0.00,"₱2,265.71","₱2,265.71"
79282,002-000032663,24/06/2026,12:31:02,2,Dine In,Dine In,₱840.00,₱75.00,nan,₱0.00,₱915.00,₱915.00
79280,002-000032662,24/06/2026,11:56:41,0,Food Panda,Food Panda,₱125.00,₱0.00,nan,₱0.00,₱125.00,₱125.00
79272,002-000032661,23/06/2026,23:06:05,2,Dine In,Dine In,"₱1,300.00",₱116.07,nan,₱0.00,"₱1,416.07","₱1,416.07"
79268,002-000032659,23/06/2026,22:56:40,3,Dine In,Dine In,₱240.00,₱21.43,nan,₱0.00,₱261.43,₱261.43
79267,002-000032658,23/06/2026,22:54:58,2,Dine In,Dine In,"₱2,450.00",₱245.00,nan,₱0.00,"₱2,695.00","₱2,695.00"
79265,002-000032657,23/06/2026,22:37:31,2,Dine In,Dine In,"₱1,560.00",₱139.29,nan,₱0.00,"₱1,699.29","₱1,699.29"
79264,002-000032656,23/06/2026,22:36:18,2,Dine In,Dine In,"₱1,565.00",₱127.86,Senior Citizen,₱118.75,"₱1,502.86","₱1,502.86"
79261,002-000032655,23/06/2026,22:30:39,2,Dine In,Dine In,₱645.00,₱57.59,Family Discount,₱64.50,₱638.09,₱638.09
79259,002-000032654,23/06/2026,21:53:04,2,Dine In,Dine In,₱770.00,₱54.98,Senior Citizen,₱137.71,₱605.84,₱605.84
79257,002-000032653,23/06/2026,21:47:54,1,Dine In,Dine In,₱120.00,₱10.71,nan,₱0.00,₱130.71,₱130.71
79256,002-000032652,23/06/2026,21:47:23,4,Dine In,Dine In,"₱2,635.00",₱235.27,nan,₱0.00,"₱2,870.27","₱2,870.27"
79255,002-000032651,23/06/2026,21:45:50,2,Dine In,Dine In,₱480.00,₱38.57,PWD,₱42.86,₱450.00,₱450.00
79251,002-000032650,23/06/2026,21:25:54,2,Dine In,Dine In,"₱2,270.00",₱202.68,nan,₱0.00,"₱2,472.68","₱2,472.68"
79250,002-000032649,23/06/2026,21:25:13,2,Dine In,Dine In,"₱1,045.00",₱93.30,nan,₱0.00,"₱1,138.30","₱1,138.30"
79247,002-000032648,23/06/2026,20:59:26,2,Dine In,Dine In,₱545.00,₱48.66,nan,₱0.00,₱593.66,₱593.66
79245,002-000032647,23/06/2026,20:22:19,4,Dine In,Dine In,"₱1,995.00",₱178.13,nan,₱0.00,"₱2,173.13","₱2,173.13"
79240,002-000032645,23/06/2026,19:47:24,2,Dine In,Dine In,₱910.00,₱73.13,PWD,₱81.25,₱853.13,₱853.13
79238,002-000032644,23/06/2026,19:39:10,3,Dine In,Dine In,"₱2,130.00",₱190.18,nan,₱0.00,"₱2,320.18","₱2,320.18"
79236,002-000032643,23/06/2026,19:33:09,8,Dine In,Dine In,"₱6,005.00",₱536.16,nan,₱0.00,"₱6,541.16","₱6,541.16"
79230,002-000032640,23/06/2026,14:34:53,2,Dine In,Dine In,"₱4,265.00",₱426.50,nan,₱0.00,"₱4,691.50","₱4,691.50"
79228,002-000032639,23/06/2026,13:43:06,2,Take Out,Take Out,₱300.00,₱0.00,nan,₱0.00,₱300.00,₱300.00
79225,002-000032638,23/06/2026,13:31:05,2,Dine In,Dine In,₱845.00,₱75.45,nan,₱0.00,₱920.45,₱920.45
79222,002-000032637,23/06/2026,13:01:06,1,Take Out,Take Out,₱450.00,₱0.00,nan,₱0.00,₱450.00,₱450.00
79220,002-000032636,23/06/2026,12:45:31,2,Dine In,Dine In,₱375.00,₱33.48,nan,₱0.00,₱408.48,₱408.48
79218,002-000032635,23/06/2026,12:41:35,2,Dine In,Dine In,₱885.00,₱79.02,nan,₱0.00,₱964.02,₱964.02
79216,002-000032634,23/06/2026,11:27:41,1,Take Out,Take Out,₱150.00,₱0.00,nan,₱0.00,₱150.00,₱150.00
79209,002-000032633,22/06/2026,23:17:00,3,Dine In,Dine In,"₱2,955.00",₱263.84,nan,₱0.00,"₱3,218.84","₱3,218.84"
79207,002-000032632,22/06/2026,23:11:38,2,Dine In,Credit Card,"₱2,450.00",₱196.88,PWD,₱218.75,"₱2,296.88","₱1,093.75"
79199,002-000032629,22/06/2026,19:47:58,2,Dine In,Credit Card,"₱1,380.00",₱123.21,nan,₱0.00,"₱1,503.21","₱1,380.00"
79195,002-000032627,22/06/2026,18:00:18,2,Dine In,Dine In,"₱1,500.00",₱150.00,nan,₱0.00,"₱1,650.00","₱1,650.00"
79191,002-000032625,22/06/2026,14:14:50,2,Dine In,Dine In,"₱1,580.00",₱126.96,PWD,₱141.07,"₱1,481.25","₱1,481.25"
79187,002-000032623,22/06/2026,13:28:57,1,Take Out,Take Out,₱150.00,₱0.00,nan,₱0.00,₱150.00,₱150.00
79186,002-000032622,22/06/2026,13:25:11,3,Dine In,Credit Card,₱450.00,₱40.18,nan,₱0.00,₱490.18,₱450.00
79183,002-000032621,22/06/2026,12:35:46,2,Dine In,Dine In,₱650.00,₱58.04,nan,₱0.00,₱708.04,₱708.04
79175,002-000032620,21/06/2026,23:56:09,2,Dine In,Dine In,"₱1,045.00",₱93.30,nan,₱0.00,"₱1,138.30","₱1,138.30"
79173,002-000032619,21/06/2026,23:05:39,5,Dine In,Dine In,"₱3,915.00",₱349.55,nan,₱0.00,"₱4,264.55","₱4,264.55"
79171,002-000032618,21/06/2026,22:55:27,3,Dine In,Dine In,₱835.00,₱74.55,nan,₱0.00,₱909.55,₱909.55
79170,002-000032617,21/06/2026,22:54:54,3,Dine In,Debit Card,₱445.00,₱39.73,nan,₱0.00,₱484.73,₱445.00
79167,002-000032616,21/06/2026,22:47:10,1,Dine In,Dine In,₱375.00,₱33.48,nan,₱0.00,₱408.48,₱408.48
79166,002-000032615,21/06/2026,22:47:03,3,Dine In,Dine In,₱770.00,₱68.75,nan,₱0.00,₱838.75,₱838.75
79162,002-000032614,21/06/2026,22:30:06,2,Dine In,Dine In,₱795.00,₱70.98,nan,₱0.00,₱865.98,₱865.98
79161,002-000032613,21/06/2026,22:21:45,3,Dine In,Debit Card,"₱1,355.00",₱120.98,nan,₱0.00,"₱1,475.98","₱1,355.00"
79161,002-000032613,21/06/2026,22:21:45,3,Dine In,Dine In,"₱1,355.00",₱120.98,nan,₱0.00,"₱1,475.98","₱1,475.98"
79158,002-000032612,21/06/2026,22:00:01,2,Dine In,Dine In,"₱1,000.00",₱89.29,nan,₱0.00,"₱1,089.29","₱1,089.29"
79156,002-000032611,21/06/2026,21:21:01,1,Dine In,Dine In,₱245.00,₱21.88,nan,₱0.00,₱266.88,₱266.88
79154,002-000032610,21/06/2026,20:55:03,5,Dine In,Dine In,"₱5,075.00",₱453.13,Family Discount,₱507.50,"₱5,020.63","₱5,020.63"
79152,002-000032609,21/06/2026,20:48:21,3,Dine In,Dine In,"₱2,130.00",₱152.14,PWD,₱380.36,"₱1,673.57","₱1,673.57"
79150,002-000032608,21/06/2026,20:36:56,5,Dine In,Dine In,"₱4,475.00",₱399.55,nan,₱0.00,"₱4,874.55","₱4,874.55"
79148,002-000032607,21/06/2026,20:09:40,3,Dine In,Dine In,"₱2,500.00",₱210.33,Senior Citizen,₱128.87,"₱2,504.14","₱2,504.14"
79146,002-000032606,21/06/2026,20:05:09,5,Dine In,Dine In,"₱4,530.00",₱372.11,Senior Citizen,₱323.57,"₱4,384.40","₱4,384.40"
79144,002-000032605,21/06/2026,19:52:02,4,Dine In,Dine In,"₱2,410.00",₱241.00,nan,₱0.00,"₱2,651.00","₱2,651.00"
79142,002-000032604,21/06/2026,19:33:40,5,Dine In,Dine In,"₱3,645.00",₱312.43,PWD,₱130.18,"₱3,749.14","₱3,749.14"
79139,002-000032603,21/06/2026,19:24:34,4,Dine In,Dine In,"₱2,215.00",₱197.77,nan,₱0.00,"₱2,412.77","₱2,412.77"
79133,002-000032602,21/06/2026,18:32:34,2,Dine In,Dine In,"₱1,640.00",₱146.43,nan,₱0.00,"₱1,786.43","₱1,786.43"
79130,002-000032601,21/06/2026,18:19:04,2,Dine In,Dine In,"₱1,785.00",₱159.38,nan,₱0.00,"₱1,944.38","₱1,944.38"
79128,002-000032600,21/06/2026,18:07:39,2,Dine In,Dine In,"₱1,470.00",₱131.25,nan,₱0.00,"₱1,601.25","₱1,601.25"
79126,002-000032599,21/06/2026,17:16:50,5,Dine In,Dine In,"₱1,195.00",₱106.70,nan,₱0.00,"₱1,301.70","₱1,301.70"
79124,002-000032598,21/06/2026,14:40:14,5,Dine In,Dine In,"₱1,819.00",₱162.41,nan,₱0.00,"₱1,981.41","₱1,981.41"
79122,002-000032597,21/06/2026,13:57:11,4,Dine In,Dine In,"₱2,190.00",₱219.00,nan,₱0.00,"₱2,409.00","₱2,409.00"
79119,002-000032596,21/06/2026,13:48:45,3,Dine In,Dine In,"₱2,150.00",₱179.17,PWD,₱127.98,"₱2,124.40","₱2,124.40"
79118,002-000032595,21/06/2026,13:34:19,6,Dine In,Dine In,"₱6,850.00",₱611.61,nan,₱0.00,"₱7,461.61","₱7,461.61"
79116,002-000032594,21/06/2026,13:14:25,2,Dine In,Dine In,"₱1,295.00",₱115.63,nan,₱0.00,"₱1,410.63","₱1,410.63"
79114,002-000032593,21/06/2026,13:09:46,0,Take Out,Take Out,"₱1,855.00",₱0.00,nan,₱0.00,"₱1,855.00","₱1,855.00"
79113,002-000032592,21/06/2026,13:07:12,4,Dine In,Dine In,"₱2,100.00",₱178.13,PWD,₱93.75,"₱2,128.13","₱2,128.13"
79112,002-000032543,20/06/2026,23:59:59,6,Dine In,Walk-in,"₱4,255.00",₱379.91,nan,₱0.00,"₱4,634.91","₱4,634.91"
79108,002-000032542,20/06/2026,23:59:59,4,Dine In,Walk-in,"₱2,940.00",₱262.50,nan,₱0.00,"₱3,202.50","₱3,202.50"
79103,002-000032541,20/06/2026,23:59:58,2,Dine In,Walk-in,"₱1,515.00",₱135.27,nan,₱0.00,"₱1,650.27","₱1,650.27"
