TransactionID,PaymentMethod,PaymentProvider,Amount
70205,Credit Card,Mastercard,"₱2,184.02"
70207,Cash,Cash,"₱1,519.55"
70210,E-wallet,GCash,"₱2,069.64"
70213,E-wallet,GCash,₱386.92
70213,Credit Card,Mastercard,₱580.37
70215,E-wallet,GCash,"₱2,336.52"
70218,Credit Card,Mastercard,"₱2,761.34"
70221,E-wallet,GCash,"₱1,920.86"
70225,Credit Card,Visa,"₱1,328.93"
70229,Credit Card,Mastercard,"₱1,203.66"
70231,Credit Card,Mastercard,₱375.80
70234,E-wallet,GCash,₱485.28
70234,Credit Card,Mastercard,₱593.11
70237,Credit Card,Visa,"₱2,401.87"
70238,Credit Card,Mastercard,"₱2,155.70"
70239,Credit Card,Visa,"₱2,505.36"
70240,Credit Card,Visa,₱904.11
70243,E-wallet,GCash,"₱1,247.23"
70245,Credit Card,Mastercard,₱925.89
70246,E-wallet,GCash,₱555.54
70248,Credit Card,Mastercard,"₱1,181.87"
70251,Cash,Cash,"₱1,448.75"
70253,E-wallet,GCash,"₱2,597.95"
70256,E-wallet,GCash,"₱1,013.04"
70259,E-wallet,GCash,₱212.41
70261,Cash,Cash,"₱1,105.62"
70262,Credit Card,Mastercard,"₱2,069.64"
70263,Cash,Cash,"₱4,852.77"
70264,E-wallet,GCash,"₱1,298.97"
70264,Credit Card,Mastercard,"₱1,587.64"
70265,Credit Card,Mastercard,"₱1,290.80"
70266,Credit Card,Visa,"₱1,198.21"
70269,Credit Card,Mastercard,"₱1,731.96"
70270,E-wallet,GCash,"₱1,061.24"
70270,Credit Card,Mastercard,"₱1,297.06"
70271,E-wallet,GCash,"₱4,449.73"
70275,Cash,Cash,"₱1,214.55"
70279,Credit Card,Mastercard,"₱1,404.79"
70282,Credit Card,Mastercard,"₱2,009.73"
70284,E-wallet,GCash,"₱1,416.07"
70285,Credit Card,Visa,"₱2,788.57"
70289,Credit Card,Visa,"₱1,699.29"
70290,Credit Card,Visa,"₱2,080.54"
70291,Cash,Cash,"₱1,307.14"
70295,E-wallet,GCash,₱708.04
70296,E-wallet,GCash,₱718.11
70296,Credit Card,Mastercard,₱877.69
70297,E-wallet,GCash,₱637.23
70298,Cash,Cash,"₱1,307.14"
70300,Credit Card,Visa,"₱2,516.25"
70301,E-wallet,GCash,₱767.95
70305,Credit Card,Mastercard,"₱1,949.82"
70306,E-wallet,GCash,₱607.82
70306,Credit Card,Mastercard,₱742.89
70310,E-wallet,GCash,₱887.77
70313,E-wallet,GCash,"₱2,943.54"
70314,Credit Card,Visa,₱506.52
70318,E-wallet,GCash,"₱3,126.25"
70320,Credit Card,Visa,"₱1,813.66"
70322,E-wallet,GCash,₱916.63
70322,Credit Card,Mastercard,"₱1,120.33"
70323,Credit Card,Visa,₱490.18
70325,Credit Card,Visa,₱516.32
70327,E-wallet,GCash,"₱2,243.70"
70329,Cash,Cash,"₱6,971.43"
70331,E-wallet,GCash,"₱1,618.50"
70332,E-wallet,GCash,"₱1,252.40"
70332,Credit Card,Mastercard,"₱1,530.72"
70333,E-wallet,GCash,"₱2,601.16"
70334,Credit Card,Mastercard,"₱2,706.87"
70337,Credit Card,Visa,"₱2,309.29"
70338,Credit Card,Mastercard,"₱2,674.20"
70340,E-wallet,GCash,₱659.29
70340,Credit Card,Mastercard,₱805.80
70341,E-wallet,GCash,"₱1,165.54"
70344,Cash,Cash,₱332.23
70345,Credit Card,Visa,"₱1,345.27"
70349,Credit Card,Mastercard,"₱1,944.37"
70352,Credit Card,Visa,"₱1,753.75"
70354,Credit Card,Mastercard,"₱5,223.12"
70357,Cash,Cash,"₱2,216.70"
70359,E-wallet,GCash,"₱1,388.84"
70360,E-wallet,GCash,₱477.92
70360,Credit Card,Mastercard,₱584.13
70361,E-wallet,GCash,"₱2,004.29"
70365,Credit Card,Visa,"₱3,273.30"
70369,Credit Card,Visa,₱484.73
70373,Cash,Cash,"₱1,563.12"
70375,Cash,Cash,"₱1,623.04"
70377,E-wallet,GCash,₱849.64
70381,Cash,Cash,₱895.30
70385,E-wallet,GCash,"₱1,666.61"
70387,E-wallet,GCash,"₱2,221.05"
70390,E-wallet,GCash,₱928.89
70390,Credit Card,Mastercard,"₱1,135.31"
70391,E-wallet,GCash,₱408.48
70392,Credit Card,Visa,"₱3,322.32"
70394,Cash,Cash,"₱1,390.85"
70394,Credit Card,Visa,"₱1,390.84"
70395,E-wallet,GCash,"₱3,530.46"
70395,Cash,Cash,₱288.66
70395,Credit Card,Visa,₱288.66
70396,E-wallet,GCash,"₱1,323.48"
70397,Credit Card,Visa,"₱1,241.79"
70397,E-wallet,GCash,"₱1,056.61"
70399,Cash,Cash,"₱1,569.59"
70399,Credit Card,Visa,"₱1,569.59"
70401,Credit Card,Visa,"₱1,857.23"
70403,Credit Card,Visa,"₱1,181.87"
70403,Credit Card,Visa,"₱2,712.32"
70404,Credit Card,Mastercard,"₱2,445.45"
70406,Credit Card,Mastercard,"₱3,300.54"
70407,Credit Card,Mastercard,₱479.29
70409,E-wallet,GCash,"₱1,203.66"
70410,Cash,Cash,"₱1,552.23"
70412,E-wallet,GCash,₱751.61
70414,Cash,Cash,₱925.89
70418,Credit Card,Mastercard,"₱2,614.29"
70419,E-wallet,GCash,"₱1,775.54"
70423,Cash,Cash,"₱1,900.80"
70425,E-wallet,GCash,"₱2,712.32"
70428,E-wallet,GCash,"₱2,973.75"
70431,Cash,Cash,"₱2,407.32"
70433,Cash,Cash,"₱2,053.30"
70437,Cash,Cash,"₱1,715.62"
70439,E-wallet,GCash,"₱2,483.57"
70443,Credit Card,Visa,₱787.02
70444,E-wallet,GCash,"₱3,605.54"
70445,Cash,Cash,"₱1,056.61"
70447,Cash,Cash,"₱1,827.82"
70448,E-wallet,GCash,"₱1,911.70"
70449,Cash,Cash,"₱1,702.98"
70450,Cash,Cash,"₱1,830.00"
70454,Cash,Cash,"₱1,220.00"
70457,Credit Card,Visa,₱588.21
70458,Credit Card,Visa,₱522.86
70460,Cash,Cash,"₱1,689.64"
70462,Credit Card,Visa,"₱2,053.30"
70466,Credit Card,Mastercard,"₱2,755.89"
70468,Cash,Cash,₱375.81
70468,Credit Card,Visa,₱375.80
70470,Cash,Cash,₱492.90
70470,Credit Card,Visa,₱492.90
70472,Cash,Cash,"₱1,173.86"
70475,E-wallet,GCash,"₱2,864.82"
70477,Credit Card,Mastercard,₱860.54
70479,Credit Card,Visa,"₱1,529.36"
70483,Credit Card,Mastercard,"₱1,089.29"
70485,E-wallet,GCash,"₱1,198.21"
70489,E-wallet,GCash,"₱3,262.41"
70491,E-wallet,GCash,₱708.04
70492,Credit Card,Mastercard,"₱2,407.32"
70495,Credit Card,Visa,"₱1,453.11"
70498,Cash,Cash,"₱1,568.57"
70498,Credit Card,Visa,"₱1,568.57"
70500,Cash,Cash,₱928.07
70500,Credit Card,Visa,₱928.07
70504,Credit Card,Visa,"₱2,140.45"
70506,Cash,Cash,₱822.41
70506,Credit Card,Visa,₱822.41
70508,Cash,Cash,"₱1,165.54"
70508,Credit Card,Visa,"₱1,165.53"
70510,Cash,Cash,₱664.47
70510,Credit Card,Visa,₱664.46
70512,Credit Card,Visa,"₱1,080.48"
70514,Credit Card,Mastercard,"₱1,448.75"
70516,Credit Card,Visa,"₱1,465.09"
70518,Cash,Cash,"₱1,426.96"
70522,Cash,Cash,"₱3,256.96"
70524,Cash,Cash,"₱1,775.54"
70528,E-wallet,GCash,₱697.14
70530,Credit Card,Visa,"₱7,897.32"
70531,Credit Card,Mastercard,₱716.75
70533,Credit Card,Visa,"₱1,421.52"
70541,E-wallet,GCash,"₱2,222.14"
70545,Credit Card,Mastercard,"₱1,334.37"
70546,E-wallet,GCash,₱889.29
70548,Credit Card,Mastercard,"₱1,067.50"
70550,Cash,Cash,₱904.11
70552,Cash,Cash,₱313.17
70552,Credit Card,Mastercard,₱313.17
70553,Credit Card,Mastercard,₱849.64
70554,Cash,Cash,"₱1,307.25"
70554,Credit Card,Mastercard,"₱1,307.25"
70558,E-wallet,GCash,"₱1,296.25"
70560,Credit Card,Visa,"₱1,149.20"
70561,Credit Card,Visa,₱909.55
70563,E-wallet,GCash,₱653.57
70566,E-wallet,GCash,"₱3,561.96"
70569,Cash,Cash,"₱2,870.27"
70571,Cash,Cash,"₱1,416.07"
70574,Cash,Cash,"₱1,164.96"
70576,Credit Card,Mastercard,₱708.04
70579,Credit Card,Mastercard,₱484.73
70581,E-wallet,GCash,"₱3,197.05"
70582,Credit Card,Visa,"₱1,552.23"
70585,Cash,Cash,"₱3,873.50"
70587,Cash,Cash,₱803.35
70587,Credit Card,Mastercard,₱803.35
70591,Cash,Cash,"₱1,761.92"
70591,Credit Card,Mastercard,"₱1,761.92"
70595,Cash,Cash,₱604.55
70596,E-wallet,GCash,₱940.05
70599,Cash,Cash,₱754.33
70599,Credit Card,Mastercard,₱754.33
70600,Cash,Cash,"₱1,347.27"
70603,Cash,Cash,"₱1,301.69"
70603,Credit Card,Mastercard,"₱1,301.70"
70605,Cash,Cash,₱432.99
70605,Credit Card,Mastercard,₱432.99
70607,Cash,Cash,₱397.59
70607,Credit Card,Mastercard,₱397.59
70609,Cash,Cash,"₱1,704.73"
70612,Cash,Cash,"₱1,157.37"
70612,Credit Card,Mastercard,"₱1,157.36"
70616,Credit Card,Visa,"₱1,067.50"
70619,Cash,Cash,₱424.82
70619,Credit Card,Mastercard,₱424.82
70622,Cash,Cash,"₱3,213.39"
70624,E-wallet,GCash,₱757.05
70628,Cash,Cash,₱155.22
70628,Credit Card,Mastercard,₱155.23
70630,E-wallet,GCash,"₱2,042.41"
70632,Cash,Cash,₱683.52
70632,Credit Card,Mastercard,₱683.53
70634,E-wallet,GCash,"₱1,049.36"
70638,Credit Card,Visa,"₱2,227.59"
70640,Cash,Cash,"₱1,089.29"
70642,Credit Card,Visa,"₱1,132.86"
70646,Credit Card,Visa,"₱2,674.20"
70649,Cash,Cash,"₱1,928.04"
70651,Cash,Cash,"₱2,007.55"
70655,Cash,Cash,₱588.21
70659,Cash,Cash,₱806.07
70659,Credit Card,Mastercard,₱806.07
70662,Cash,Cash,"₱1,765.23"
70666,Cash,Cash,"₱2,788.57"
70667,E-wallet,GCash,"₱2,592.50"
70669,Cash,Cash,"₱1,748.30"
70673,Credit Card,Mastercard,"₱1,045.71"
70674,Cash,Cash,"₱2,216.70"
70678,Credit Card,Mastercard,"₱1,185.14"
70680,E-wallet,GCash,"₱1,138.30"
70682,E-wallet,GCash,₱713.48
70683,Credit Card,Visa,₱336.59
70685,Cash,Cash,₱882.32
70687,Credit Card,Visa,"₱1,628.48"
70688,Credit Card,Visa,"₱1,245.00"
70690,E-wallet,GCash,"₱2,554.37"
70694,Credit Card,Mastercard,"₱1,824.55"
70697,Credit Card,Mastercard,"₱1,105.62"
70699,E-wallet,GCash,"₱2,475.95"
70700,Cash,Cash,₱855.09
70700,Credit Card,Mastercard,₱855.09
70713,Credit Card,Mastercard,"₱1,868.12"
70716,E-wallet,GCash,₱411.75
70716,Credit Card,Mastercard,₱503.25
70718,Credit Card,Visa,"₱2,467.23"
70722,E-wallet,GCash,₱452.05
70725,Cash,Cash,"₱1,029.37"
70727,E-wallet,GCash,₱453.42
70727,Credit Card,Mastercard,₱554.17
70731,Credit Card,Visa,"₱2,107.77"
70733,Credit Card,Mastercard,"₱4,275.45"
70735,E-wallet,GCash,"₱1,486.87"
70737,E-wallet,GCash,₱627.43
70737,Credit Card,Mastercard,₱766.86
70741,Cash,Cash,"₱2,249.37"
70744,E-wallet,GCash,"₱1,120.06"
70744,Credit Card,Mastercard,"₱1,368.96"
70748,E-wallet,GCash,"₱1,083.84"
70750,E-wallet,GCash,"₱1,203.66"
70752,E-wallet,GCash,"₱1,339.82"
70753,Cash,Cash,"₱4,024.91"
70755,E-wallet,GCash,"₱1,274.46"
70755,Credit Card,Mastercard,"₱1,557.68"
70756,Cash,Cash,"₱2,216.70"
70760,Cash,Cash,"₱1,023.93"
70762,Cash,Cash,"₱1,377.95"
70765,Credit Card,Mastercard,"₱2,961.77"
70766,E-wallet,GCash,"₱2,478.12"
70769,Credit Card,Visa,"₱6,900.62"
70773,Credit Card,Visa,"₱1,078.39"
70775,Credit Card,Mastercard,"₱1,933.48"
70777,E-wallet,GCash,"₱1,644.82"
70780,Cash,Cash,"₱2,979.20"
70782,E-wallet,GCash,₱735.27
70786,Credit Card,Visa,₱936.79
70789,Credit Card,Visa,"₱3,267.86"
70793,Credit Card,Visa,"₱1,846.34"
70797,Credit Card,Mastercard,"₱3,578.30"
70801,Credit Card,Mastercard,"₱3,158.93"
70804,Credit Card,Mastercard,"₱1,307.25"
70807,Cash,Cash,"₱1,914.96"
70808,E-wallet,GCash,"₱1,544.06"
70808,Credit Card,Mastercard,"₱1,887.19"
70811,Credit Card,Visa,"₱4,885.45"
70815,Credit Card,Visa,₱958.57
70816,Cash,Cash,"₱2,272.12"
70817,Credit Card,Visa,"₱1,633.93"
70819,Cash,Cash,₱642.68
70821,Credit Card,Mastercard,₱315.89
70823,Credit Card,Mastercard,"₱2,527.14"
70824,E-wallet,GCash,"₱1,294.07"
70824,Credit Card,Mastercard,"₱1,581.64"
70828,Credit Card,Visa,₱936.79
70829,Cash,Cash,"₱1,535.89"
70830,Cash,Cash,₱860.54
70834,Credit Card,Mastercard,"₱1,797.32"
70836,Cash,Cash,"₱2,031.52"
70837,Credit Card,Visa,₱566.43
70839,Credit Card,Visa,"₱1,272.29"
70842,E-wallet,GCash,"₱1,117.61"
70842,Credit Card,Mastercard,"₱1,365.96"
70844,E-wallet,GCash,₱845.56
70844,Credit Card,Mastercard,"₱1,033.46"
70846,E-wallet,GCash,"₱1,753.75"
70849,E-wallet,GCash,"₱1,203.66"
70851,E-wallet,GCash,₱532.24
70851,Credit Card,Mastercard,₱650.51
70853,Credit Card,Visa,₱266.87
70855,Cash,Cash,"₱2,717.77"
70856,Cash,Cash,"₱2,547.80"
70859,Cash,Cash,"₱2,124.11"
70862,Credit Card,Mastercard,"₱1,252.68"
70863,E-wallet,GCash,₱555.37
70863,Credit Card,Mastercard,₱678.79
70865,E-wallet,GCash,₱486.22
70865,Credit Card,Mastercard,₱594.26
70869,Cash,Cash,₱893.21
70871,E-wallet,GCash,"₱1,028.29"
70875,Credit Card,Visa,"₱3,812.50"
70877,Credit Card,Mastercard,"₱1,443.30"
70880,Credit Card,Mastercard,"₱1,002.14"
70883,Cash,Cash,"₱1,535.89"
70884,E-wallet,GCash,"₱3,915.98"
70886,Credit Card,Mastercard,₱964.02
70888,E-wallet,GCash,"₱2,516.25"
70890,E-wallet,GCash,"₱3,768.93"
70892,Credit Card,Visa,₱115.61
70894,E-wallet,GCash,₱354.02
70896,E-wallet,GCash,"₱2,249.37"
70899,Credit Card,Mastercard,"₱1,685.20"
70903,Cash,Cash,"₱1,535.89"
70907,Credit Card,Mastercard,"₱2,051.12"
70911,E-wallet,GCash,"₱2,603.39"
70913,Credit Card,Visa,₱397.59
70915,E-wallet,GCash,₱776.93
70915,Credit Card,Mastercard,₱949.59
70916,E-wallet,GCash,"₱2,015.18"
70919,Credit Card,Mastercard,"₱1,345.27"
70923,Credit Card,Visa,"₱2,685.09"
70926,Credit Card,Mastercard,"₱2,276.61"
70928,Cash,Cash,₱751.61
70932,Cash,Cash,"₱1,742.86"
70934,E-wallet,GCash,"₱3,115.36"
70936,Credit Card,Visa,"₱2,407.32"
70938,Credit Card,Mastercard,₱478.20
70940,E-wallet,GCash,"₱2,145.89"
70944,E-wallet,GCash,₱560.98
70982,Cash,Cash,"₱1,830.00"
70985,Credit Card,Visa,"₱1,906.25"
70986,Cash,Cash,"₱1,350.71"
70987,Credit Card,Mastercard,"₱1,377.95"
70991,E-wallet,GCash,"₱2,140.45"
70995,E-wallet,GCash,"₱2,608.84"
70997,Cash,Cash,"₱2,881.16"
71001,Cash,Cash,"₱4,781.96"
71004,Cash,Cash,₱860.54
71005,Credit Card,Mastercard,"₱3,572.86"
71007,E-wallet,GCash,"₱2,129.55"
71010,E-wallet,GCash,"₱2,211.25"
71012,Credit Card,Mastercard,₱354.02
71015,E-wallet,GCash,"₱1,753.75"
71015,Credit Card,Mastercard,"₱2,630.62"
71016,Cash,Cash,"₱3,805.96"
71017,Cash,Cash,₱482.55
71018,Credit Card,Mastercard,"₱2,167.68"
71019,E-wallet,GCash,₱535.93
71019,Credit Card,Mastercard,₱803.89
71021,Credit Card,Visa,₱735.27
71023,E-wallet,GCash,"₱1,579.46"
71023,Credit Card,Mastercard,"₱2,369.20"
71026,Credit Card,Visa,"₱1,780.98"
71027,Cash,Cash,"₱3,425.80"
71030,E-wallet,GCash,"₱1,015.22"
71030,Credit Card,Mastercard,"₱1,522.82"
71033,Credit Card,Visa,"₱1,797.32"
71034,Cash,Cash,"₱2,715.59"
71036,E-wallet,GCash,"₱2,075.09"
71038,E-wallet,GCash,₱215.68
71038,Credit Card,Mastercard,₱323.52
71042,Credit Card,Mastercard,₱261.43
71046,Cash,Cash,"₱2,129.84"
71047,E-wallet,GCash,₱285.39
71047,Credit Card,Mastercard,₱428.09
71051,E-wallet,GCash,₱834.39
71051,Credit Card,Mastercard,"₱1,251.59"
71055,Cash,Cash,"₱2,434.55"
71059,E-wallet,GCash,₱655.75
71059,Credit Card,Mastercard,₱983.62
71060,E-wallet,GCash,₱760.32
71060,Credit Card,Mastercard,"₱1,140.48"
71063,E-wallet,GCash,₱640.28
71063,Credit Card,Mastercard,₱960.43
71066,Cash,Cash,"₱1,546.79"
71069,E-wallet,GCash,"₱1,178.30"
71071,Cash,Cash,"₱3,480.27"
71073,E-wallet,GCash,"₱2,690.54"
71075,Cash,Cash,"₱1,503.21"
71078,E-wallet,GCash,"₱1,786.43"
71082,Credit Card,Visa,"₱1,715.62"
71083,E-wallet,GCash,₱263.61
71083,Credit Card,Mastercard,₱395.41
71085,Cash,Cash,"₱1,786.43"
71086,E-wallet,GCash,₱488.00
71086,Credit Card,Mastercard,₱732.00
71090,Credit Card,Visa,"₱1,884.46"
71092,E-wallet,GCash,₱725.66
71092,Credit Card,Mastercard,"₱1,088.48"
71094,E-wallet,GCash,"₱1,339.82"
71096,Cash,Cash,"₱1,557.68"
71099,E-wallet,GCash,₱392.14
71099,Credit Card,Mastercard,₱588.22
71100,Credit Card,Visa,"₱3,050.00"
71104,Credit Card,Visa,"₱1,209.11"
71106,Cash,Cash,"₱1,741.77"
71109,E-wallet,GCash,"₱2,145.89"
71111,E-wallet,GCash,₱582.48
71112,E-wallet,GCash,"₱1,429.14"
71112,Credit Card,Mastercard,"₱2,143.72"
71115,Credit Card,Mastercard,₱294.11
71116,Cash,Cash,"₱2,380.09"
71120,Credit Card,Mastercard,"₱1,501.04"
71123,Credit Card,Visa,"₱1,350.71"
71125,Credit Card,Mastercard,"₱1,078.39"
71128,Credit Card,Mastercard,₱985.80
71132,Cash,Cash,"₱1,944.37"
71133,E-wallet,GCash,"₱1,835.45"
71137,Credit Card,Mastercard,₱217.86
71138,E-wallet,GCash,"₱1,442.22"
71138,Credit Card,Mastercard,"₱2,163.32"
71140,Cash,Cash,₱588.21
71142,E-wallet,GCash,"₱1,631.84"
71144,E-wallet,GCash,"₱4,999.82"
71146,E-wallet,GCash,"₱1,023.93"
71149,E-wallet,GCash,"₱2,102.32"
71151,E-wallet,GCash,"₱1,164.96"
71152,E-wallet,GCash,"₱1,835.45"
71156,Cash,Cash,"₱1,307.14"
71157,E-wallet,GCash,₱459.68
71157,Credit Card,Mastercard,₱689.52
71158,Cash,Cash,₱800.62
71160,Credit Card,Mastercard,"₱2,184.02"
71163,E-wallet,GCash,₱691.70
71164,Credit Card,Mastercard,"₱1,307.14"
71166,E-wallet,GCash,₱629.62
71166,Credit Card,Mastercard,₱944.42
71169,Cash,Cash,"₱2,859.37"
71172,E-wallet,GCash,₱540.28
71172,Credit Card,Mastercard,₱810.43
71176,E-wallet,GCash,"₱4,498.75"
71180,E-wallet,GCash,₱374.72
71180,Credit Card,Mastercard,₱562.07
71182,E-wallet,GCash,₱227.66
71182,Credit Card,Mastercard,₱341.48
71185,Credit Card,Mastercard,₱855.09
71187,Cash,Cash,₱333.48
71189,Cash,Cash,"₱2,036.96"
71191,E-wallet,GCash,₱277.77
71193,E-wallet,GCash,"₱1,124.95"
71197,Credit Card,Visa,"₱2,755.89"
71199,E-wallet,GCash,₱278.86
71199,Credit Card,Mastercard,₱418.28
71200,Cash,Cash,"₱3,561.96"
71201,E-wallet,GCash,₱996.70
71203,Credit Card,Mastercard,₱733.09
71205,E-wallet,GCash,"₱1,699.29"
71209,Credit Card,Mastercard,"₱1,644.82"
71211,E-wallet,GCash,₱610.00
71213,E-wallet,GCash,₱712.39
71213,Credit Card,Mastercard,"₱1,068.59"
71215,E-wallet,GCash,₱220.04
71215,Credit Card,Mastercard,₱330.05
71218,Credit Card,Visa,"₱2,434.55"
71219,Cash,Cash,"₱1,780.98"
71220,Cash,Cash,"₱1,511.93"
71224,E-wallet,GCash,₱400.86
71224,Credit Card,Mastercard,₱601.28
71227,Credit Card,Visa,"₱2,282.05"
71230,Cash,Cash,₱827.86
71231,E-wallet,GCash,₱760.34
71233,Credit Card,Mastercard,"₱2,042.41"
71235,E-wallet,GCash,"₱1,187.32"
71238,Credit Card,Mastercard,"₱2,009.73"
71242,Credit Card,Visa,₱735.27
71244,Cash,Cash,"₱1,416.07"
71246,E-wallet,GCash,"₱2,450.89"
71248,Cash,Cash,₱98.04
71323,Credit Card,Visa,"₱1,105.62"
71325,Cash,Cash,₱964.02
71327,Credit Card,Mastercard,"₱2,584.87"
71329,Credit Card,Mastercard,"₱1,513.02"
71332,Cash,Cash,"₱2,764.61"
71334,Credit Card,Visa,"₱1,170.98"
71336,Credit Card,Mastercard,"₱2,875.71"
71340,E-wallet,GCash,"₱2,499.91"
71344,Credit Card,Mastercard,₱795.18
71345,Credit Card,Visa,"₱3,997.68"
71347,Cash,Cash,₱947.68
71348,Credit Card,Mastercard,"₱3,447.59"
71350,Cash,Cash,₱87.14
71352,Credit Card,Visa,"₱3,256.96"
71353,Credit Card,Visa,"₱1,312.59"
71357,Credit Card,Mastercard,"₱1,356.16"
71358,Credit Card,Visa,"₱1,672.05"
71360,Credit Card,Mastercard,"₱6,605.43"
71361,E-wallet,GCash,₱953.12
71363,Credit Card,Visa,"₱1,682.95"
71367,Cash,Cash,"₱2,309.29"
71368,E-wallet,GCash,"₱2,140.45"
71371,E-wallet,GCash,₱936.79
71373,E-wallet,GCash,"₱1,922.59"
71374,Credit Card,Mastercard,"₱1,023.93"
71375,E-wallet,GCash,"₱1,023.93"
71377,Credit Card,Mastercard,"₱1,105.62"
71379,Cash,Cash,₱958.57
71381,Credit Card,Visa,"₱1,928.04"
71383,E-wallet,GCash,"₱1,051.16"
71386,Credit Card,Mastercard,"₱1,138.30"
71387,Cash,Cash,"₱4,242.77"
71389,Cash,Cash,"₱2,152.07"
71392,Cash,Cash,"₱2,603.39"
71395,E-wallet,GCash,"₱1,115.15"
71395,Credit Card,Mastercard,"₱1,362.97"
71398,Cash,Cash,₱718.93
71399,Credit Card,Mastercard,"₱2,015.18"
71403,E-wallet,GCash,"₱1,824.55"
71407,Credit Card,Visa,"₱1,535.89"
71408,Cash,Cash,"₱1,416.07"
71411,E-wallet,GCash,₱469.54
71413,E-wallet,GCash,"₱3,600.09"
71416,E-wallet,GCash,"₱1,618.50"
71417,Cash,Cash,"₱2,483.57"
71421,E-wallet,GCash,₱290.13
71421,Credit Card,Mastercard,₱354.60
71422,E-wallet,GCash,₱735.27
71422,Credit Card,Mastercard,₱898.66
71424,Credit Card,Mastercard,"₱1,685.20"
71425,E-wallet,GCash,₱659.02
