TransactionID,ProductName,Category,Qty,UnitPrice,SalesAmount
70085,Banana Peanut Butter,Frappe,2,₱275.00,₱550.00
70085,Egg,Add-ons,2,₱40.00,₱80.00
70086,Cocoa Wonka,Drinks,1,₱245.00,₱245.00
70086,Viet Coffee,Coffee,2,₱145.00,₱290.00
70086,Truffle Parmesan Fries,Appetizer,2,₱325.00,₱650.00
70086,Honey Lemon J,Drinks,1,₱135.00,₱135.00
70086,Salmon Rice,Entree,1,₱665.00,₱665.00
70089,Viet Coffee,Coffee,1,₱195.00,₱195.00
70089,Trash Can,Dessert,2,₱395.00,₱790.00
70089,Cocoa Wonka,Drinks,2,₱245.00,₱490.00
70091,Free Pudding,Promos & Freebies,2,₱0.00,₱0.00
70091,Mango Shake,Shake,2,₱195.00,₱390.00
70093,Bone-In Porkchop,Entree,2,"₱1,095.00","₱2,190.00"
70093,K. Pork Bowl,Entree,1,₱585.00,₱585.00
70094,Root Beer Float R18,Beer,1,₱325.00,₱325.00
70094,Oxtail Soup,Soup,2,₱795.00,"₱1,590.00"
70097,Batwan Beef Stew,Entree,1,₱785.00,₱785.00
70097,Bucket Light,Beer,2,₱650.00,"₱1,300.00"
70099,Seafood Chowda,Soup,2,₱365.00,₱730.00
70099,Chicken Rice,Entree,2,₱405.00,₱810.00
70099,Bucket Light,Beer,1,₱650.00,₱650.00
70102,Murica,Burger/Wrap & More,2,₱150.00,₱300.00
70102,Cappuccino,Coffee,2,₱185.00,₱370.00
70102,Gochujang Chicken Wrap,Burger/Wrap & More,1,₱425.00,₱425.00
70102,T.O. Container,Packaging,1,₱20.00,₱20.00
70102,Cocoa Wonka,Drinks,2,₱245.00,₱490.00
70105,Lychee Shake,Shake,1,₱225.00,₱225.00
70105,Free Pudding,Promos & Freebies,2,₱0.00,₱0.00
70105,Strawberry Basil Mojito,Cocktail,1,₱375.00,₱375.00
70105,Hazelnut Macchiato,Coffee,2,₱205.00,₱410.00
70106,Good Morning Sunshine,Breakfast,1,₱199.00,₱199.00
70106,Cerveza Negra,Beer,2,₱150.00,₱300.00
70106,Black Pepper Beef,Appetizer,2,₱585.00,"₱1,170.00"
70106,Tapsi & More,Entree,2,₱425.00,₱850.00
70108,Plain Rice,Add-ons,1,₱65.00,₱65.00
70108,Seafood Chowda,Soup,1,₱365.00,₱365.00
70110,Pink Margarita,Cocktail,1,₱325.00,₱325.00
70110,Baletea Freeze,Cocktail,2,₱365.00,₱730.00
70110,Free Chicharon,Promos & Freebies,2,₱0.00,₱0.00
70110,Mango Tapioca,Dessert,2,₱245.00,₱490.00
70111,Warm Poke Bowl,Entree,1,₱625.00,₱625.00
70111,UTB Burger,Burger/Wrap & More,2,₱425.00,₱850.00
70111,Seafood Chowda,Soup,1,₱365.00,₱365.00
70111,Banana Peanut Butter,Frappe,1,₱275.00,₱275.00
70114,Chicken Parm,Entree,1,₱495.00,₱495.00
70114,Mac & Cheese,Pasta,1,₱445.00,₱445.00
70114,Strawberry Lychee Shake,Shake,1,₱255.00,₱255.00
70116,Shrimp Salpicao,Entree,1,₱415.00,₱415.00
70116,Baletea,Tea,2,₱205.00,₱410.00
70116,Strawberry Frappe,Frappe,1,₱255.00,₱255.00
70116,Plain Rice,Add-ons,1,₱65.00,₱65.00
70116,K. Pork Bowl,Entree,1,₱595.00,₱595.00
70119,Creme Brulee,Dessert,2,₱245.00,₱490.00
70119,Truffle Parmesan Fries,Appetizer,2,₱325.00,₱650.00
70121,Chicken Parm,Entree,1,₱495.00,₱495.00
70121,Pink Margarita,Cocktail,2,₱325.00,₱650.00
70121,Chicken in a Basket,Appetizer,1,₱395.00,₱395.00
70124,Plain Rice,Add-ons,2,₱65.00,₱130.00
70124,Pork Sisig,Entree,2,₱345.00,₱690.00
70126,Strawberry Lychee Shake,Shake,2,₱255.00,₱510.00
70126,Salmon Rice,Entree,2,₱665.00,"₱1,330.00"
70127,Bread Pudding,Dessert,2,₱215.00,₱430.00
70127,Warm Poke Bowl,Entree,2,₱625.00,"₱1,250.00"
70130,Pitcher Red Sangria,Cocktail,2,₱650.00,"₱1,300.00"
70130,Amaretto Sour,Cocktail,1,₱0.00,₱0.00
70131,Truffle Parmesan Fries,Appetizer,2,₱325.00,₱650.00
70131,Bellagio Mochaccino,Coffee,2,₱225.00,₱450.00
70131,Honey-Sriracha Chicken,Salad,2,₱375.00,₱750.00
70132,Schweppes Soda Water,Drinks,1,₱105.00,₱105.00
70132,Free Pudding,Promos & Freebies,1,₱0.00,₱0.00
70132,Cajun Pasta,Pasta,1,₱425.00,₱425.00
70132,Plain Rice,Add-ons,1,₱65.00,₱65.00
70132,Bucket Pilsen,Beer,1,₱600.00,₱600.00
70134,Marrow Brulee,Dessert,2,₱365.00,₱730.00
70134,Truffle Parmesan Fries,Appetizer,2,₱325.00,₱650.00
70134,Beer Peach,Beer,1,₱235.00,₱235.00
70135,Murica,Coffee,1,₱150.00,₱150.00
70135,Strawberry Basil Mojito,Cocktail,2,₱0.00,₱0.00
70135,Bucket Pilsen,Beer,1,₱600.00,₱600.00
70135,SOP,Pizza,2,₱425.00,₱850.00
70135,Salis Curry Steak,Entree,2,₱425.00,₱850.00
70136,Chicken & Waffles,Entree,1,₱425.00,₱425.00
70136,Banana Peanut Butter,Frappe,2,₱275.00,₱550.00
70139,Sisig Rice Bowl,Entree,1,₱415.00,₱415.00
70139,Seafood Chowda,Soup,1,₱365.00,₱365.00
70139,UTB Burger,Burger/Wrap & More,2,₱425.00,₱850.00
70139,Batwan Beef Stew,Entree,2,₱725.00,"₱1,450.00"
70139,Egg,Add-ons,2,₱40.00,₱80.00
70142,Mac & Cheese,Pasta,2,₱445.00,₱890.00
70142,Strawberry Frappe,Frappe,1,₱255.00,₱255.00
70142,Cerveza Negra,Beer,2,₱150.00,₱300.00
70142,Sisig Rice Bowl,Entree,2,₱415.00,₱830.00
70142,Rootbeer Float Rated G,Drinks,1,₱225.00,₱225.00
70145,San Mig Light,Beer,1,₱130.00,₱130.00
70145,Mango Shake,Shake,2,₱225.00,₱450.00
70145,SOP,Pizza,2,₱425.00,₱850.00
70145,Mango Shake,Shake,2,₱195.00,₱390.00
70148,Bucket Superdry,Beer,2,₱750.00,"₱1,500.00"
70148,San Mig Light,Beer,2,₱0.00,₱0.00
70148,Spanish Latte,Coffee,2,₱195.00,₱390.00
70149,Murica,Coffee,2,₱150.00,₱300.00
70149,SOP,Pizza,2,₱425.00,₱850.00
70149,UT-Pork Bowl,Entree,1,₱595.00,₱595.00
70149,Fish Taco,Appetizer,2,₱395.00,₱790.00
70150,Yogi Tea,Tea,2,₱0.00,₱0.00
70150,Kawali Bowl,Entree,2,₱199.00,₱398.00
70150,Beef and Shrimp Salpicao,Entree,2,₱895.00,"₱1,790.00"
70153,Chicken in a Basket,Appetizer,2,₱395.00,₱790.00
70153,Rootbeer Float,Drinks,1,₱225.00,₱225.00
70156,Matchalicious,Matcha,2,₱255.00,₱510.00
70156,Bread Pudding,Dessert,2,₱215.00,₱430.00
70156,Pink Margarita,Cocktail,1,₱325.00,₱325.00
70156,Boozy Affogato,Boozy Coffee,2,₱375.00,₱750.00
70159,Eves Apple,Mocktails,1,₱295.00,₱295.00
70159,Chicken Rice,Entree,2,₱405.00,₱810.00
70159,Glass Bulera,Cocktail,2,₱115.00,₱230.00
70159,Corned Beef Plate,Breakfast,1,₱199.00,₱199.00
70159,Matchaholic,Matcha,1,₱0.00,₱0.00
70160,San Mig Light,Beer,1,₱130.00,₱130.00
70160,Truffle Pasta,Pasta,2,₱485.00,₱970.00
70160,Caesar,Salad,2,₱365.00,₱730.00
70162,Thai Shrimp,Entree,1,₱425.00,₱425.00
70162,Black Pepper Beef,Appetizer,2,₱585.00,"₱1,170.00"
70162,Mango Shake,Shake,1,₱195.00,₱195.00
70162,Caesar,Salad,2,₱365.00,₱730.00
70163,Free Pudding,Promos & Freebies,2,₱0.00,₱0.00
70163,Pinoy Charcuterie,Appetizer,1,₱495.00,₱495.00
70163,SOP,Pizza,2,₱425.00,₱850.00
70163,Seafood Chowda,Soup,2,₱365.00,₱730.00
70163,Yogi Tea,Tea,1,₱0.00,₱0.00
70164,Plain Rice,Add-ons,1,₱65.00,₱65.00
70164,Pinoy Charcuterie,Appetizer,1,₱495.00,₱495.00
70164,Twerk It,Boozy Coffee,1,₱345.00,₱345.00
70164,Grilled Tuna,Entree,2,₱395.00,₱790.00
70164,Salmon Rice,Entree,1,₱665.00,₱665.00
70167,Chicken Rice,Entree,2,₱405.00,₱810.00
70167,Pitcher Red Sangria,Cocktail,1,₱650.00,₱650.00
70167,Sisig Rice Bowl,Entree,2,₱415.00,₱830.00
70170,Trash Can,Dessert,2,₱395.00,₱790.00
70170,Mango Shake,Shake,2,₱225.00,₱450.00
70170,Coke Zero,Drinks,1,₱105.00,₱105.00
70172,Plain Rice,Add-ons,2,₱65.00,₱130.00
70172,Kiss of Death,Cocktail,2,₱550.00,"₱1,100.00"
70172,Container,Packaging,2,₱10.00,₱20.00
70172,San Mig Light,Beer,2,₱130.00,₱260.00
70172,Cold Water,Drinks,2,₱65.00,₱130.00
70175,Honey-Sriracha Chicken,Entree,1,₱375.00,₱375.00
70175,SOP,Pizza,2,₱425.00,₱850.00
70175,Pink Margarita,Cocktail,2,₱325.00,₱650.00
70175,Beef Salpicao,Entree,2,₱545.00,"₱1,090.00"
70176,Batwan Beef Stew,Entree,1,₱725.00,₱725.00
70176,Mango Shake,Shake,2,₱295.00,₱590.00
70179,Lychee Shake,Shake,2,₱225.00,₱450.00
70179,Rootbeer Float,Drinks,2,₱225.00,₱450.00
70181,Coke Regular,Drinks,2,₱105.00,₱210.00
70181,Salis Curry Steak,Entree,2,₱425.00,₱850.00
70181,Seafood Pesto,Pasta,2,₱495.00,₱990.00
70181,Baletea Freeze,Cocktail,2,₱365.00,₱730.00
70181,Cappuccino,Coffee,1,₱185.00,₱185.00
70182,Glass Baletea,Tea,2,₱105.00,₱210.00
70182,Pinoy Charcuterie,Appetizer,2,₱495.00,₱990.00
70182,Trash Can,Dessert,2,₱395.00,₱790.00
70184,Extra Espresso Shot,Coffee,2,₱95.00,₱190.00
70184,Viet Coffee,Coffee,2,₱195.00,₱390.00
70184,Fish Be With U,Entree,2,₱795.00,"₱1,590.00"
70184,Latte,Coffee,2,₱185.00,₱370.00
70185,Cold Water,Drinks,2,₱65.00,₱130.00
70185,Bread Pudding,Dessert,1,₱215.00,₱215.00
70185,Strawberry Lychee Shake,Shake,2,₱255.00,₱510.00
70185,Plain Rice,Add-ons,2,₱65.00,₱130.00
70188,Platter Garlic Rice,Side Dish,2,₱395.00,₱790.00
70188,Caesar,Salad,2,₱365.00,₱730.00
70189,Eyogi Tea,Tea,1,₱125.00,₱125.00
70189,Green Mango Shake,Shake,1,₱275.00,₱275.00
70189,Sisig Rice Bowl,Entree,2,₱415.00,₱830.00
70189,Fish Taco,Appetizer,2,₱395.00,₱790.00
70190,SOP,Pizza,1,₱425.00,₱425.00
70190,Johnnie Walker Black S,Hard Liquor,2,₱195.00,₱390.00
70190,Tokwat Porky Pig,Entree,2,₱395.00,₱790.00
70190,Lychee Shake,Shake,1,₱225.00,₱225.00
70190,Mango Shake,Shake,1,₱280.00,₱280.00
70191,Twerk It,Boozy Coffee,1,₱345.00,₱345.00
70191,Bucket Superdry,Beer,2,₱750.00,"₱1,500.00"
70191,Murica,Coffee,1,₱150.00,₱150.00
70192,Ginger Ale,Beer,2,₱115.00,₱230.00
70192,Extra Espresso Shot,Coffee,2,₱95.00,₱190.00
70192,Kikiam Ala Carte,Appetizer,2,₱85.00,₱170.00
70192,Fish Be With U,Entree,1,₱795.00,₱795.00
70193,Bucket Light,Beer,1,₱650.00,₱650.00
70193,Boozy Affogato,Boozy Coffee,1,₱375.00,₱375.00
70193,Chicken Rice,Entree,2,₱405.00,₱810.00
70195,Latte,Coffee,2,₱185.00,₱370.00
70195,Twerk It,Boozy Coffee,1,₱345.00,₱345.00
70195,Chicken in a Basket,Appetizer,1,₱395.00,₱395.00
70195,Chicken & Waffles,Entree,1,₱425.00,₱425.00
70197,K. Beef Bowl,Entree,2,₱895.00,"₱1,790.00"
70197,Baletea Freeze,Cocktail,1,₱365.00,₱365.00
70198,Salis Curry Steak,Entree,1,₱425.00,₱425.00
70198,Cerveza Negra,Beer,2,₱150.00,₱300.00
70198,Taco,Appetizer,2,₱345.00,₱690.00
70199,Asian Chicken,Salad,2,₱365.00,₱730.00
70199,Tailgate Ribs,Entree,1,₱595.00,₱595.00
70199,Mac & Cheese,Pasta,1,₱445.00,₱445.00
70199,Chicken Rice,Entree,1,₱405.00,₱405.00
70199,Hazelnut Macchiato,Coffee,2,₱205.00,₱410.00
70201,Salted Caramel Frappe,Frappe,2,₱255.00,₱510.00
70201,Tapsi & More,Entree,2,₱425.00,₱850.00
70201,Container,Packaging,1,₱10.00,₱10.00
70201,SOP,Pizza,2,₱425.00,₱850.00
70202,Coke Zero,Drinks,2,₱105.00,₱210.00
70202,Fish Taco,Appetizer,1,₱395.00,₱395.00
70202,Grilled Tuna,Entree,1,₱395.00,₱395.00
70202,Pork Sisig,Entree,1,₱345.00,₱345.00
70202,Tailgate Ribs,Entree,2,₱595.00,"₱1,190.00"
70205,Tokwat Porky Pig,Entree,1,₱395.00,₱395.00
70205,Plain Rice,Add-ons,1,₱65.00,₱65.00
70205,Tailgate Ribs,Entree,2,₱595.00,"₱1,190.00"
70205,Sausage Diablo,Appetizer,1,₱325.00,₱325.00
70207,Creme Brulee,Dessert,1,₱245.00,₱245.00
70207,Mac & Cheese,Pasta,1,₱445.00,₱445.00
70207,Murica,Coffee,2,₱150.00,₱300.00
70207,Spanish Latte,Coffee,1,₱195.00,₱195.00
70207,Mountain Dew,Drinks,2,₱105.00,₱210.00
70210,Fish Be With U,Entree,1,₱795.00,₱795.00
70210,Bucket Pilsen,Beer,1,₱600.00,₱600.00
70210,Bucket Light,Beer,2,₱650.00,"₱1,300.00"
70213,Breakfast Pudding,Dessert,2,₱199.00,₱398.00
70213,Creme Brulee,Dessert,2,₱245.00,₱490.00
70213,Negra,Beer,2,₱0.00,₱0.00
70215,SOP,Pizza,1,₱425.00,₱425.00
70215,Salted Caramel Frappe,Frappe,2,₱255.00,₱510.00
70215,Dynamite Ala Carte,Appetizer,1,₱155.00,₱155.00
70215,UTB Burger,Burger/Wrap & More,1,₱425.00,₱425.00
70215,Tequila Sunrise,Cocktail,2,₱315.00,₱630.00
70218,Warm Poke Bowl,Entree,2,₱625.00,"₱1,250.00"
70218,Salis Curry Steak,Entree,1,₱425.00,₱425.00
70218,Platter Garlic Rice,Side Dish,2,₱395.00,₱790.00
70221,Chicken Rice,Entree,1,₱405.00,₱405.00
70221,Lychee Shake,Shake,2,₱225.00,₱450.00
70221,Bunwich Ala UTB,Entree,1,₱375.00,₱375.00
70221,Seafood Chowda,Soup,2,₱365.00,₱730.00
70221,San Mig Pilsen,Beer,1,₱120.00,₱120.00
70225,Sausage Diablo,Appetizer,1,₱325.00,₱325.00
70225,Beef and Shrimp Salpicao,Entree,1,₱895.00,₱895.00
70229,Tailgate Ribs,Entree,1,₱595.00,₱595.00
70229,Strawberry Frappe,Frappe,2,₱255.00,₱510.00
70231,Viet Coffee,Coffee,1,₱195.00,₱195.00
70231,Caramel Macchiato,Coffee,1,₱0.00,₱0.00
70231,Murica,Coffee,1,₱150.00,₱150.00
70231,Strawberry Basil Mojito,Cocktail,2,₱0.00,₱0.00
70234,Free Pudding,Promos & Freebies,1,₱0.00,₱0.00
70234,Salis Curry Steak,Entree,2,₱425.00,₱850.00
70237,Sisig Rice Bowl,Entree,1,₱415.00,₱415.00
70237,K. Beef Bowl,Entree,2,₱895.00,"₱1,790.00"
70238,Good Morning Sunshine,Breakfast,1,₱199.00,₱199.00
70238,Pinoy Charcuterie,Appetizer,2,₱495.00,₱990.00
70238,Cappuccino,Coffee,2,₱185.00,₱370.00
70238,Johnnie Walker Black,Hard Liquor,1,₱195.00,₱195.00
70238,Rootbeer Float Rated G,Drinks,1,₱225.00,₱225.00
70239,Batwan Beef Stew,Entree,2,₱785.00,"₱1,570.00"
70239,Caesar,Salad,2,₱365.00,₱730.00
70240,Garlic Rice,Add-ons,2,₱95.00,₱190.00
70240,Chicken Parm,Entree,1,₱495.00,₱495.00
70240,Egg,Add-ons,2,₱40.00,₱80.00
70240,Xtra Scoop Ice Cream,Dessert,1,₱65.00,₱65.00
70240,Strawberry Basil Mojito,Cocktail,1,₱0.00,₱0.00
70243,Tokwat Porky Pig,Appetizer,1,₱395.00,₱395.00
70243,Bunwich Ala UTB,Burger/Wrap & More,2,₱375.00,₱750.00
70245,Thai Shrimp,Entree,1,₱425.00,₱425.00
70245,SOP,Pizza,1,₱425.00,₱425.00
70246,Free Chicharon,Promos & Freebies,1,₱0.00,₱0.00
70246,Matchalicious,Matcha,2,₱255.00,₱510.00
70248,Murica,Coffee,1,₱150.00,₱150.00
70248,Mango Shake,Shake,1,₱295.00,₱295.00
70248,Platter Garlic Rice,Side Dish,2,₱395.00,₱790.00
70251,Gochujang Chicken Wrap,Burger/Wrap & More,1,₱425.00,₱425.00
70251,Chicken Rice,Entree,2,₱405.00,₱810.00
70251,Extra Espresso Shot,Coffee,1,₱95.00,₱95.00
70253,Bone-In Porkchop,Entree,2,"₱1,095.00","₱2,190.00"
70253,Truffle Parmesan Fries,Appetizer,1,₱325.00,₱325.00
70256,Chicken in a Basket,Appetizer,1,₱395.00,₱395.00
70256,C3,Drinks,2,₱245.00,₱490.00
70259,Pink Margarita,Cocktail,1,₱0.00,₱0.00
70259,Johnnie Walker Black S,Hard Liquor,1,₱195.00,₱195.00
70261,Lychee Shake,Shake,1,₱225.00,₱225.00
70261,Murica,Entree,2,₱150.00,₱300.00
70261,Creme Brulee,Dessert,2,₱245.00,₱490.00
70262,Hazelnut Macchiato,Coffee,1,₱205.00,₱205.00
70262,Caesar,Salad,1,₱365.00,₱365.00
70262,Happy Hour 595+,Promos & Freebies,2,₱665.00,"₱1,330.00"
70263,Bone-In Porkchop,Entree,2,"₱1,095.00","₱2,190.00"
70263,Plain Rice,Add-ons,1,₱65.00,₱65.00
70263,Caesar,Salad,2,₱365.00,₱730.00
70263,Sausage Diablo,Appetizer,2,₱325.00,₱650.00
70263,Chixsig Nachos,Appetizer,2,₱395.00,₱790.00
70264,Tapsi & More,Entree,2,₱425.00,₱850.00
70264,K. Beef Bowl,Entree,2,₱895.00,"₱1,790.00"
70265,Bucket Cerveza Negra,Beer,1,₱750.00,₱750.00
70265,Beer Caramel,Beer,1,₱235.00,₱235.00
70265,Viet Coffee,Coffee,1,₱200.00,₱200.00
70265,Negra,Beer,1,₱0.00,₱0.00
70266,Free Chicharon,Promos & Freebies,1,₱0.00,₱0.00
70266,Pinoy Charcuterie,Appetizer,2,₱495.00,₱990.00
70266,San Mig Light,Beer,1,₱130.00,₱130.00
70269,Grilled Tuna,Entree,2,₱395.00,₱790.00
70269,Banana Peanut Butter,Frappe,1,₱275.00,₱275.00
70269,Mac & Cheese,Pasta,1,₱445.00,₱445.00
70269,San Mig Light,Beer,2,₱0.00,₱0.00
70269,Egg,Add-ons,2,₱40.00,₱80.00
70270,Strawberry Lychee Shake,Shake,1,₱255.00,₱255.00
70270,Tailgate Ribs,Entree,1,₱650.00,₱650.00
70270,Bunwich Ala UTB,Burger/Wrap & More,2,₱375.00,₱750.00
70270,Matcha Frappe,Frappe,2,₱255.00,₱510.00
70271,Jim Beam Whiskey,Hard Liquor,1,"₱2,600.00","₱2,600.00"
70271,C3,Drinks,1,₱245.00,₱245.00
70271,Coke Regular,Drinks,2,₱125.00,₱250.00
70271,Pinoy Charcuterie,Appetizer,2,₱495.00,₱990.00
70275,Bunwich Ala UTB,Entree,2,₱375.00,₱750.00
70275,Strawberry Basil Mojito,Cocktail,2,₱0.00,₱0.00
70275,Caesar,Salad,1,₱365.00,₱365.00
70279,San Mig Pilsen,Beer,1,₱120.00,₱120.00
70279,Pitcher Red Sangria,Cocktail,2,₱650.00,"₱1,300.00"
70282,Strawberry Matcha Frappe,Frappe,2,₱285.00,₱570.00
70282,Sisig Rice Bowl,Entree,1,₱415.00,₱415.00
70282,Under the Summer Sun,Cocktail,2,₱335.00,₱670.00
70282,Garlic Rice,Add-ons,2,₱95.00,₱190.00
70282,Negra,Beer,2,₱0.00,₱0.00
70284,Bucket Assorted,Beer,1,₱750.00,₱750.00
70284,Kiss of Death,Cocktail,1,₱550.00,₱550.00
70285,San Mig Light,Beer,1,₱130.00,₱130.00
70285,Salis Curry Steak,Entree,2,₱425.00,₱850.00
70285,Cajun Pasta,Pasta,2,₱425.00,₱850.00
70285,Asian Chicken,Salad,2,₱365.00,₱730.00
70289,Twerk It,Boozy Coffee,2,₱345.00,₱690.00
70289,Mango Shake,Shake,1,₱180.00,₱180.00
70289,Taco,Appetizer,2,₱345.00,₱690.00
70290,Chicken Rice,Entree,2,₱405.00,₱810.00
70290,Chicken Parm,Entree,2,₱550.00,"₱1,100.00"
70291,Chicken Parm,Entree,1,₱550.00,₱550.00
70291,Truffle Parmesan Fries,Appetizer,2,₱325.00,₱650.00
70295,Johnnie Walker Black S,Hard Liquor,1,₱195.00,₱195.00
70295,Shrimp Po Boy,Burger/Wrap & More,1,₱455.00,₱455.00
70296,Happy Hour 595+,Promos & Freebies,1,₱665.00,₱665.00
70296,Matchalicious,Matcha,1,₱255.00,₱255.00
70296,Beef Salpicao,Entree,1,₱545.00,₱545.00
70297,Cerveza Negra,Beer,1,₱150.00,₱150.00
70297,Chicken & Waffles,Entree,2,₱425.00,₱850.00
70297,Truffle Pasta,Pasta,1,₱435.00,₱435.00
70297,Under the Summer Sun,Cocktail,1,₱0.00,₱0.00
70298,Bucket Light,Beer,1,₱650.00,₱650.00
70298,Banana Peanut Butter,Frappe,2,₱275.00,₱550.00
70300,Salis Curry Steak,Entree,2,₱425.00,₱850.00
70300,Black Pepper Beef,Appetizer,2,₱525.00,"₱1,050.00"
70300,Hazelnut Macchiato,Coffee,2,₱205.00,₱410.00
70301,San Mig Light,Beer,2,₱130.00,₱260.00
70301,Mac & Cheese,Pasta,1,₱445.00,₱445.00
70305,Tailgate Ribs,Entree,1,₱595.00,₱595.00
70305,Salis Curry Steak,Entree,1,₱425.00,₱425.00
70305,Cappuccino,Coffee,2,₱185.00,₱370.00
70305,Coke Regular,Drinks,1,₱55.00,₱55.00
70305,Sisig Rice Bowl,Entree,1,₱345.00,₱345.00
70306,Plain Rice,Add-ons,2,₱65.00,₱130.00
70306,Mango Shake,Shake,2,₱240.00,₱480.00
70306,Eves Apple,Mocktails,2,₱295.00,₱590.00
70306,Free Pudding,Promos & Freebies,1,₱0.00,₱0.00
70310,San Mig Pilsen,Beer,2,₱90.00,₱180.00
70310,Mac & Cheese,Pasta,1,₱445.00,₱445.00
70310,Fries,Side Dish,2,₱95.00,₱190.00
70313,Squash Soup,Soup,2,₱315.00,₱630.00
70313,Cerveza Negra,Beer,2,₱150.00,₱300.00
70313,Pork Bowl,Entree,2,₱595.00,"₱1,190.00"
70313,Tailgate Ribs,Entree,2,₱595.00,"₱1,190.00"
70314,Gochujang Chicken Wrap,Burger/Wrap & More,1,₱425.00,₱425.00
70314,T.O. Container,Packaging,2,₱20.00,₱40.00
70314,Plain Rice,Add-ons,1,₱65.00,₱65.00
70314,Free Chicharon,Promos & Freebies,1,₱0.00,₱0.00
70318,Red Sangria,Cocktail,1,₱345.00,₱345.00
70318,San Mig Light,Beer,1,₱0.00,₱0.00
70318,Cerveza Negra,Beer,1,₱150.00,₱150.00
70318,Bone-in PorkChop,Entree,2,"₱1,095.00","₱2,190.00"
70318,Cappuccino,Coffee,1,₱185.00,₱185.00
70320,Schweppes Soda Water,Drinks,1,₱105.00,₱105.00
70320,Cerveza Negra,Beer,2,₱150.00,₱300.00
