Product ID,Product Name,Category,SKU,Unit Price,Current Unit Cost,Configured/Missing Status
5f785658-6411-40c3-9605-c9aa6fc1ab7a,Extra Espresso Shot,Coffee,,95,,Missing
7a6b7717-31fe-4da9-8a78-c739d0e21565,Eyogi Tea,Tea,,125,,Missing
0da6307b-17dd-43a7-a83a-677f723b9673,Fish Be With U,Entree,,795,,Missing
53d05162-1266-44d6-9e6a-06fecdc4282d,Fish Taco,Appetizer,,395,,Missing
9f3d90f1-b203-493a-918d-8e4b6ea09675,Fries,Side Dish,,95,,Missing
6eb8d98a-c814-4c06-9baf-021d7681ad13,Garlic Rice,Add-ons,,95,,Missing
4cd902f0-ce56-4d10-a665-716b87437e7a,Gin & Tonic,Hard Liquor,,345,,Missing
14ecd463-5b88-4a0e-99d3-42538a5028a2,Ginger Ale,Beer,,115,,Missing
136edf51-c2c6-4007-97d1-85e4d0394a6a,Glass Baletea,Tea,,105,,Missing
9d906e37-9aff-4146-a811-4e34034d95f6,Gold Fashioned,Cocktail,,290,,Missing
52a33e25-02c9-4133-b940-e5b36eeb8511,Good Morning Sunshine,Breakfast,,199,,Missing
013e0c2b-7b4a-4582-8df4-6d37a3f99507,Grilled Tuna,Entree,,395,,Missing
8e037c20-5334-409a-adc1-71482b5dc9a1,Happy Hour 595+,Promos & Freebies,,665,,Missing
879f21bf-92be-417c-9f2e-45b55f89779a,Hazelnut Macchiato,Coffee,,205,,Missing
1837f9b9-0ac6-41c2-84bb-3cc1662d71cc,Honey-Sriracha Chicken,Salad,,375,,Missing
292d1091-95ad-4e21-8789-72635d2af701,Honey Lemon J,Drinks,,135,,Missing
7defb65b-5408-42c6-8645-43ad653b7ca8,Jim Beam Whiskey,Hard Liquor,,2600,,Missing
834aa13b-c5c6-4323-ac9e-707b53cba8f3,Johnnie Walker Black,Hard Liquor,,195,,Missing
61baa4be-c08a-485b-8f1a-73a5a110a3b6,K. Beef Bowl,Entree,,895,,Missing
a81bbc56-5d65-4700-a202-1a3650712f3b,K. Pork Bowl,Entree,,595,,Missing
ad3c7029-f411-4a41-b690-fcfd1299a8dd,Kawali Bowl,Entree,,199,,Missing
649559ea-cb94-4a64-9c94-958db4fe1114,Kikiam Ala Carte,Appetizer,,85,,Missing
a1df29c0-6247-4b48-882b-9bf0deae9f65,Kiss of Death,Cocktail,,550,,Missing
d9ec70e5-a6f5-421c-914a-138429b42295,Kwek Ala Carte,Appetizer,,155,,Missing
ece03cbc-4a5e-4228-8c3e-4a5179eeeac7,Latte,Coffee,,185,,Missing
df5b8637-4cc0-4310-b111-b25bfb200a1c,Lychee Berry Margarita,Cocktail,,355,,Missing
5395620c-fda5-4a08-bab6-1a96d6f8ed32,Lychee Mojito,Cocktail,,355,,Missing
873660b0-654a-447d-9ad3-0af183646f7d,Lychee Shake,Shake,,225,,Missing
a60cf356-76ec-45cd-b54f-f42618a84b3a,Mango Shake,Shake,,280,,Missing
93ff4eac-ab1a-44ec-8bc6-f526b3e03c02,Mango Tapioca,Dessert,,245,,Missing
2befbf19-22a4-4808-911f-0ae01aa9017a,Marrow Brulee,Dessert,,365,,Missing
d477fb27-efcf-4b2e-b918-61c947db4593,Matcha Frappe,Frappe,,255,,Missing
95bb9cd8-2b36-4575-9348-39e80bec6883,Matcha Holic,Matcha,,355,,Missing
4ed917ff-ecbc-422b-af77-65dd7b0f7363,Matchalicious,Matcha,,255,,Missing
d19ab622-117c-444c-9bc6-b80096f3995a,Merk TT,Others,,345,,Missing
a3fdb660-ab5c-4ec0-a546-4eb0e4fbfab0,Mountain Dew,Drinks,,105,,Missing
f9592ccc-c94d-4880-bf13-f42c18c8740b,Mug Root Beer,Beer,,105,,Missing
9fc05795-7244-4e45-9eb8-b0669b6d0905,Murica,Burger/Wrap & More,,150,,Missing
7f7d0916-7a40-4ca9-b750-14400b417069,Oxtail Soup,Soup,,795,,Missing
dfb68b2a-e73e-43e4-9653-75ed27082259,Pinoy Charcuterie,Appetizer,,495,,Missing
b1dd8de2-c528-4967-b1c7-5f4920ed2fcc,Pitcher Red Sangria,Cocktail,,650,,Missing
f8b45648-2dc6-49a3-84b8-4f0c45969064,Plain Rice,Add-ons,,65,,Missing
f4446f71-1328-4ee3-a83e-5bb4d292e0f1,Platter Garlic Rice,Side Dish,,395,,Missing
ba3ae6d6-b3a2-43f6-acae-5f945ccb1927,Pork Sisig,Entree,,345,,Missing
c26bdf5f-f6f1-4fad-b6d5-95a3bac848a9,Red Sangria,Cocktail,,345,,Missing
31c2b7b4-c6ba-4433-b634-a1b20e75d8af,Rootbeer Float,Drinks,,225,,Missing
dd5907f4-b10b-4a1f-b8af-b1999cd0b86a,Rootbeer Float Rated G,Drinks,,225,,Missing
28644e93-8f04-4e75-add0-1d833f809362,Rum & Coke,Cocktail,,225,,Missing
9faad1d8-22c3-4338-bb2e-11027825b728,Salis Curry Steak,Entree,,425,,Missing
7e6bd3f6-d542-4de3-bb9d-0c677a1d9cf8,Salmon Rice,Entree,,665,,Missing
c73e399c-3899-44a6-b98b-b468a743bd20,Salted Caramel Frappe,Frappe,,255,,Missing
170906ec-7a3a-4da3-ad4c-252ca5919bce,San Mig Light,Beer,,0,,Missing
b0e822bf-aa51-4b30-a6bb-3b7fd05b86ad,Sausage Diablo,Appetizer,,325,,Missing
254b5c46-1581-4f3d-9720-96df952ae519,Sausage Skillet (Angel),Appetizer,,325,,Missing
3c86b265-a0ae-4a91-87aa-9a9f02076cc0,Schweppes Soda Water,Drinks,,105,,Missing
604b0956-b6c8-4d93-9ea3-0d85b6e76156,Schweppes Tonic Water,Drinks,,105,,Missing
075b3fba-9193-43ae-b584-2ee0fde50ba6,Seafood Chowda,Soup,,365,,Missing
8aa2bdec-ddb1-4c6a-a9c2-ac1af377c070,Seafood Pesto,Pasta,,495,,Missing
b5d22d65-e7ff-46d7-84ee-dab12d35537f,Shrimp & Chips,Appetizer,,415,,Missing
c4fdd78d-477d-460e-bcfc-160589b86587,Shrimp Po Boy,Burger/Wrap & More,,475,,Missing
3d7edb40-b921-4549-bde4-07a2c32ae996,Sisig Rice Bowl,Entree,,415,,Missing
4b85396e-704f-4dc4-98e2-177310f1f4ee,Sop,Pizza,,425,,Missing
ac3d17f2-0a27-49a4-b58e-66ddb7ad4dfe,Spanish Latte,Coffee,,195,,Missing
3c13b607-2c7b-4803-b5a0-837c75b57901,Squash Soup,Soup,,315,,Missing
5ddbbe18-13fd-4d48-ae19-3acfa3e61c74,Strawberry Basil Mojito,Cocktail,,0,,Missing
5b22fc09-cc74-4f29-a408-948da9245258,Strawberry Frappe,Frappe,,255,,Missing
a01b2e4a-698d-43cc-9f18-53c4fd894d11,Strawberry Lychee Shake,Shake,,255,,Missing
56f1ff3f-fa09-47ef-a8ac-5ce5cd78612c,Strawberry Matcha Latte,Coffee,,245,,Missing
de597d27-a0b3-41ef-96e1-e5142fb43161,Surf & Turf,Entree,,1195,,Missing
28d51d73-7617-47a2-bc9f-b57b71e4ee16,T.O. Container,Packaging,,20,,Missing
0179bb91-51be-4b5c-9215-819e6ecbe01c,Taco,Appetizer,,345,,Missing
9930ecf6-29a8-42f7-bf9e-3959cf7280b3,Tailgate Ribs,Entree,,595,,Missing
ca4c2ba5-d027-4dd9-b7e8-de2482545556,Takoyaki,Appetizer,,345,,Missing
2693cd1d-0936-47a3-9d84-c8b06cc76430,Tapsi & More,Entree,,425,,Missing
117ed1a6-7b8b-400c-8aa8-182704ff47a6,Thai Shrimp,Entree,,425,,Missing
1b98718f-2fac-4fee-bc61-b8e412d2a904,Tokwat Porky Pig,Entree,,395,,Missing
d60210a4-214b-4bcd-a820-a63ad7d925fa,Trash Can,Dessert,,395,,Missing
5bd2c7de-e2af-497c-af27-0235f0a5e859,Truffle Parmesan Fries,Appetizer,,325,,Missing
c3ff077c-a770-49da-9f5b-837134992f08,Truffle Pasta,Pasta,,435,,Missing
7566e30a-dec9-4a15-97d8-4f5a521df650,Truffle Shuffle,Pasta,,435,,Missing
810d0be2-1390-4aab-8ce7-361804ec5d3a,Under the Summer Sun,Cocktail,,335,,Missing
423d0f8a-4714-4a6b-82dd-6be2bca6327f,UTB Burger,Burger/Wrap & More,,425,,Missing
e901a76e-7af7-4d5c-a0f4-465a1be51a10,Viet Coffee,Coffee,,195,,Missing
75d0a9b9-c5a2-4cae-a585-761344fd3198,Vodka Sunrise,Cocktail,,305,,Missing
90251395-f9db-430b-86dc-3b35a9c2a01c,War Heads,Cocktail,,355,,Missing
1fe92532-cd88-4b57-bcb8-ceb53e875aaa,Warm Poke Bowl,Entree,,625,,Missing
